Campaign Name,Send Date,Audience,Recipients,Opens,Clicks,Open Rate,Click Rate,Revenue,Conversions
Spring Collection Launch,2026-03-04,All Subscribers,12450,4234,635,34.0%,5.1%,8420,42
Mother's Day Reminder,2026-03-11,VIP Customers,2840,1392,278,49.0%,9.8%,15600,78
Mother's Day Reminder #2,2026-03-12,VIP Customers,2840,1108,193,39.0%,6.8%,9200,46
Newsletter March,2026-03-18,All Subscribers,12380,3097,154,25.0%,1.2%,2100,11
Abandoned Cart Recovery,2026-03-19,Cart Abandoners,1240,694,201,56.0%,16.2%,12400,62
Flash Sale - 24 Hours,2026-03-22,All Subscribers,12330,4685,890,38.0%,7.2%,18900,94
Welcome Series 1,2026-03-25,New Subscribers,486,287,68,59.0%,14.0%,1840,9
Easter Promo,2026-04-01,All Subscribers,12420,3354,403,27.0%,3.2%,5600,28
Welcome Series 2,2026-04-03,New Subscribers,512,266,52,52.0%,10.1%,1380,7
Customer Win-Back,2026-04-08,Lapsed Customers,3240,810,121,25.0%,3.7%,3850,19
Newsletter April,2026-04-15,All Subscribers,12500,3000,150,24.0%,1.2%,2050,10
Abandoned Cart Recovery,2026-04-16,Cart Abandoners,1350,729,209,54.0%,15.5%,11800,59
Spring Sale - Final Days,2026-04-22,All Subscribers,12480,4243,594,34.0%,4.8%,9800,49
VIP Early Access,2026-04-25,VIP Customers,2890,1647,330,57.0%,11.4%,18200,91
Earth Day Collection,2026-04-26,Eco-conscious,4120,1607,257,39.0%,6.2%,7900,39
Welcome Series 3,2026-04-28,New Subscribers,538,253,40,47.0%,7.4%,1100,5
